Magnitude,Mean,Mean-Quartile_1,Quartile_3-Mean
0,0.0028826,0.00029512,0.00031591
2,0.0028623,7.3872e-05,6.7627e-05
4,0.0036401,0.00051319,0.00067319
6,0.0041144,0.00050453,0.00013127
8,0.0045446,0.00036888,0.00062075
10,0.0048151,0.00030274,0.00038152
12,0.0058577,0.00084587,0.00019317
14,0.0067444,0.00085153,0.00084737
16,0.0069727,0.00022294,0.0004198
18,0.0072415,0.0008246,0.00083743
20,0.0082444,0.0012832,0.00033677
22,0.0091052,0.0012375,0.0010507
24,0.0094527,0.0014197,0.0016999
26,0.010806,0.0017781,0.00067443
28,0.010692,0.0013698,0.0021513
30,0.010744,0.0014392,0.0012257
32,0.011837,0.00137,0.00067829
34,0.011847,0.0015111,0.00094111
36,0.012594,0.0016694,0.0013037
38,0.015467,0.0017691,0.0015867
40,0.015062,0.0017156,0.00093154
42,0.014684,0.0014277,0.0022868
44,0.015929,0.0033196,0.00098504
46,0.017571,0.003694,0.0026355
48,0.019011,0.0026456,0.0012798
50,0.01578,0.0008181,0.001383
